Timestamp,Tag,Source,Destination
1700958519.1100621,fetch,trainer7,aggregator
1700958538.881299,upload,trainer7,aggregator
1700958538.9255881,fetch,trainer7,aggregator
1700958552.3119094,upload,trainer7,aggregator
1700958552.3646479,fetch,trainer7,aggregator
1700958565.289046,upload,trainer7,aggregator
1700958565.3441935,fetch,trainer7,aggregator
1700958578.553413,upload,trainer7,aggregator
1700958578.6035266,fetch,trainer7,aggregator
1700958591.875411,upload,trainer7,aggregator
1700958591.9381266,fetch,trainer7,aggregator
1700958631.8460872,upload,trainer7,aggregator
1700958631.8923888,fetch,trainer7,aggregator
1700958645.5642781,upload,trainer7,aggregator
1700958645.6082814,fetch,trainer7,aggregator
1700958671.043711,upload,trainer7,aggregator
1700958671.093912,fetch,trainer7,aggregator
1700958697.4852393,upload,trainer7,aggregator
1700958697.5331633,fetch,trainer7,aggregator
1700958710.94514,upload,trainer7,aggregator
1700958710.9775457,fetch,trainer7,aggregator
1700958724.2598982,upload,trainer7,aggregator
1700958724.3250978,fetch,trainer7,aggregator
1700958736.8987052,upload,trainer7,aggregator
1700958736.9561393,fetch,trainer7,aggregator
1700958449.1910071,fetch,trainer8,aggregator
1700958452.55699,upload,trainer8,aggregator
1700958452.6119595,fetch,trainer8,aggregator
1700958460.352715,upload,trainer8,aggregator
1700958460.399438,fetch,trainer8,aggregator
1700958473.9318173,upload,trainer8,aggregator
1700958473.9870033,fetch,trainer8,aggregator
1700958512.984382,upload,trainer8,aggregator
1700958513.0304697,fetch,trainer8,aggregator
1700958526.2562573,upload,trainer8,aggregator
1700958526.3035305,fetch,trainer8,aggregator
1700958546.2686956,upload,trainer8,aggregator
1700958546.3148165,fetch,trainer8,aggregator
1700958579.2698872,upload,trainer8,aggregator
1700958579.3249114,fetch,trainer8,aggregator
1700958605.9968805,upload,trainer8,aggregator
1700958606.0448945,fetch,trainer8,aggregator
1700958632.6941109,upload,trainer8,aggregator
1700958632.7539313,fetch,trainer8,aggregator
1700958658.823177,upload,trainer8,aggregator
1700958658.8746917,fetch,trainer8,aggregator
1700958671.586104,upload,trainer8,aggregator
1700958671.6333747,fetch,trainer8,aggregator
1700958691.6471295,upload,trainer8,aggregator
1700958691.685493,fetch,trainer8,aggregator
1700958704.924739,upload,trainer8,aggregator
1700958704.9724216,fetch,trainer8,aggregator
1700958718.4463768,upload,trainer8,aggregator
1700958718.4995456,fetch,trainer8,aggregator
1700958731.330042,upload,trainer8,aggregator
1700958731.3854802,fetch,trainer8,aggregator
1700958750.8625019,upload,trainer8,aggregator
1700958750.9081242,fetch,trainer8,aggregator
1700958764.4094589,upload,trainer8,aggregator
1700958764.4599822,fetch,trainer8,aggregator
1700958777.5648162,upload,trainer8,aggregator
1700958777.6096911,fetch,trainer8,aggregator
1700958449.0404441,fetch,trainer9,aggregator
1700958453.2177997,upload,trainer9,aggregator
1700958453.270352,fetch,trainer9,aggregator
1700958467.7868032,upload,trainer9,aggregator
1700958467.84057,fetch,trainer9,aggregator
1700958487.3587525,upload,trainer9,aggregator
1700958487.4213114,fetch,trainer9,aggregator
1700958566.832216,upload,trainer9,aggregator
1700958566.8863342,fetch,trainer9,aggregator
1700958586.6020408,upload,trainer9,aggregator
1700958586.6530712,fetch,trainer9,aggregator
1700958600.0557318,upload,trainer9,aggregator
1700958600.1096675,fetch,trainer9,aggregator
1700958626.6825328,upload,trainer9,aggregator
1700958626.7299047,fetch,trainer9,aggregator
1700958639.6671667,upload,trainer9,aggregator
1700958639.7167742,fetch,trainer9,aggregator
1700958705.5152304,upload,trainer9,aggregator
1700958705.5583642,fetch,trainer9,aggregator
1700958744.635735,upload,trainer9,aggregator
1700958744.687814,fetch,trainer9,aggregator
1700958758.4408522,upload,trainer9,aggregator
1700958758.4825547,fetch,trainer9,aggregator
1700958449.1641216,fetch,trainer10,aggregator
1700958460.9733806,upload,trainer10,aggregator
1700958461.0329611,fetch,trainer10,aggregator
1700958480.1791492,upload,trainer10,aggregator
1700958480.219549,fetch,trainer10,aggregator
1700958506.65997,upload,trainer10,aggregator
1700958506.7052124,fetch,trainer10,aggregator
1700958532.9030092,upload,trainer10,aggregator
1700958532.949734,fetch,trainer10,aggregator
1700958566.0427623,upload,trainer10,aggregator
1700958566.0927076,fetch,trainer10,aggregator
1700958585.879813,upload,trainer10,aggregator
1700958585.9280565,fetch,trainer10,aggregator
1700958599.375438,upload,trainer10,aggregator
1700958599.4232564,fetch,trainer10,aggregator
1700958612.4494,upload,trainer10,aggregator
1700958612.4970157,fetch,trainer10,aggregator
1700958652.8369029,upload,trainer10,aggregator
1700958652.8751812,fetch,trainer10,aggregator
1700958665.0918002,upload,trainer10,aggregator
1700958665.146285,fetch,trainer10,aggregator
1700958678.8220003,upload,trainer10,aggregator
1700958678.8666525,fetch,trainer10,aggregator
1700958737.6594431,upload,trainer10,aggregator
1700958737.7090802,fetch,trainer10,aggregator
1700958764.510004,upload,trainer10,aggregator
1700958764.5606096,fetch,trainer10,aggregator
